No,Device_ID,Data_ID,DLC,0,1,2,3,4,5,6,7
1,872,345,4,Temperature,Humidity,Flame Detection,Smoke Detection,,,,
2,872,1221,5,Voltage,Current,Power,Apparent Power,kV Rating,,,
